mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 80.463, 126.771, 0.000, 1638290104.484, 
, , , 80.462, 126.771, 0.000, 1638290105.488, 
, , , 80.462, 126.771, 0.000, 1638290106.492, 
, , , 80.462, 126.771, 0.000, 1638290107.499, 
, , , 80.461, 126.771, 0.000, 1638290108.502, 
, , , 80.461, 126.771, 0.000, 1638290109.505, 
, , , 80.461, 126.771, 0.000, 1638290110.508, 
, , , 80.460, 126.771, 0.000, 1638290111.514, 
, , , 80.459, 126.771, 0.000, 1638290112.518, 
, , , 80.459, 126.771, 0.000, 1638290113.527, 
, , , 80.458, 126.771, 0.000, 1638290114.531, 
, , , 80.458, 126.771, 0.000, 1638290115.539, 
, , , 80.458, 126.771, 0.000, 1638290116.543, 
, , , 80.458, 126.772, 0.000, 1638290117.548, 
, , , 80.457, 126.772, 0.000, 1638290118.551, 
, , , 80.455, 126.769, 0.000, 1638290119.554, 
, , , 80.454, 126.763, 0.000, 1638290120.558, 
, , , 80.452, 126.763, 0.000, 1638290121.565, 
, , , 80.449, 126.766, 0.000, 1638290122.567, 
, , , 80.447, 126.768, 0.000, 1638290123.571, 
, , , 80.446, 126.768, 0.000, 1638290124.578, 
, , , 80.446, 126.770, 0.000, 1638290125.581, 
, , , 80.446, 126.771, 0.000, 1638290126.586, 
, , , 80.445, 126.771, 0.000, 1638290127.591, 
, , , 80.444, 126.773, 0.000, 1638290128.595, 
, , , 80.442, 126.773, 0.000, 1638290129.599, 
, , , 80.441, 126.772, 0.000, 1638290130.605, 
, , , 80.441, 126.772, 0.000, 1638290131.612, 
, , , 80.442, 126.772, 0.000, 1638290132.618, 
, , , 80.443, 126.774, 0.000, 1638290133.622, 
, , , 80.441, 126.777, 0.000, 1638290134.626, 
, , , 80.440, 126.778, 0.000, 1638290135.629, 
, , , 80.439, 126.781, 0.000, 1638290136.633, 
, , , 80.437, 126.785, 0.000, 1638290137.636, 
, , , 80.437, 126.785, 0.000, 1638290138.639, 
, , , 80.438, 126.785, 0.000, 1638290139.644, 
, , , 80.439, 126.786, 0.000, 1638290140.647, 
, , , 80.440, 126.787, 0.000, 1638290141.651, 
, , , 80.441, 126.787, 0.000, 1638290142.653, 
